vector_type,algorithm,size,time_ms,stress,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
ordered,HeapSort,100000000,37023.9,both,31275532,29569570,-1,5119014040,2652454802
random,HeapSort,100000000,27546,none,394488,394307,-1,5012871951,2571577939
random,HeapSort,100000000,40266.6,cpu,394576,394431,-1,5012871951,2571577939
random,HeapSort,100000000,58659.8,ram,31391792,30762838,-1,5012871951,2571577939
random,HeapSort,100000000,124401,both,31395320,30853435,-1,5012871951,2571577939
random_swaps,HeapSort,100000000,8736.57,none,394484,394303,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,12287.9,cpu,394616,394471,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,19447.2,ram,31228116,29550860,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,45475.1,both,31403088,30274481,-1,5116272301,2648852402
repeated_1_5,HeapSort,100000000,6791.74,none,394524,394343,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,9314.2,cpu,394672,394527,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,11031.1,ram,31217288,28718361,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,33940.7,both,31244000,29379779,-1,4021814368,2028013247
repeated,HeapSort,100000000,345.435,none,394540,394393,-1,299999994,99999999
repeated,HeapSort,100000000,626.055,cpu,394632,394522,-1,299999994,99999999
repeated,HeapSort,100000000,729.817,ram,31220216,8442221,-1,299999994,99999999
repeated,HeapSort,100000000,1884.24,both,26218876,8769028,-1,299999994,99999999
reversed,HeapSort,100000000,7492.15,none,394488,394391,-1,4924144478,2500251420
reversed,HeapSort,100000000,12513,cpu,394560,394503,-1,4924144478,2500251420
reversed,HeapSort,100000000,29515.5,ram,31375112,30397742,-1,4924144478,2500251420
reversed,HeapSort,100000000,34887.8,both,31306324,29657912,-1,4924144478,2500251420
zigzag,HeapSort,100000000,9447.9,none,394448,394351,-1,4986446323,2549652340
zigzag,HeapSort,100000000,13557.3,cpu,394568,394511,-1,4986446323,2549652340
zigzag,HeapSort,100000000,20154.5,ram,31252744,29901341,-1,4986446323,2549652340
zigzag,HeapSort,100000000,35969.1,both,31223764,29478869,-1,4986446323,2549652340
endnoise,HeapSort,100000000,7195.17,none,394500,394403,-1,5128959434,2656428126
endnoise,HeapSort,100000000,11854.6,cpu,394592,394531,-1,5128959434,2656428126
endnoise,HeapSort,100000000,20616.2,ram,31313292,30003356,-1,5128959434,2656428126
endnoise,HeapSort,100000000,43223.1,both,31364056,30008110,-1,5128959434,2656428126
ordered,HeapSort,100000000,7719.1,none,394500,394355,-1,5119014040,2652454802
ordered,HeapSort,100000000,11018.7,cpu,394612,394507,-1,5119014040,2652454802
ordered,HeapSort,100000000,23880.2,ram,31357688,30120292,-1,5119014040,2652454802
ordered,HeapSort,100000000,36333.5,both,31328972,29806981,-1,5119014040,2652454802
random,HeapSort,100000000,25286.6,none,394492,394395,-1,5012871951,2571577939
random,HeapSort,100000000,39876.7,cpu,394584,394527,-1,5012871951,2571577939
random,HeapSort,100000000,57602.2,ram,31377656,30669142,-1,5012871951,2571577939
random,HeapSort,100000000,105983,both,31313140,30673577,-1,5012871951,2571577939
random_swaps,HeapSort,100000000,7788.67,none,394500,394355,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,12350.8,cpu,394628,394523,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,17131,ram,31252352,29483135,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,56155.6,both,31357912,30475622,-1,5116272301,2648852402
repeated_1_5,HeapSort,100000000,6011.97,none,394584,394439,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,9332.12,cpu,394676,394567,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,11959.3,ram,31214752,29031729,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,43245.6,both,31398760,30264487,-1,4021814368,2028013247
repeated,HeapSort,100000000,383.556,none,394476,394354,-1,299999994,99999999
repeated,HeapSort,100000000,829.571,cpu,394608,394527,-1,299999994,99999999
repeated,HeapSort,100000000,423.66,ram,31263240,4608420,-1,299999994,99999999
repeated,HeapSort,100000000,1894.17,both,24939784,9220419,-1,299999994,99999999
reversed,HeapSort,100000000,7572.35,none,394464,394343,-1,4924144478,2500251420
reversed,HeapSort,100000000,12325.6,cpu,394596,394515,-1,4924144478,2500251420
reversed,HeapSort,100000000,16323.6,ram,31222020,29433992,-1,4924144478,2500251420
reversed,HeapSort,100000000,45752.9,both,31313740,30215978,-1,4924144478,2500251420
zigzag,HeapSort,100000000,8490.43,none,394528,394347,-1,4986446323,2549652340
zigzag,HeapSort,100000000,13923.8,cpu,394660,394515,-1,4986446323,2549652340
zigzag,HeapSort,100000000,17153,ram,31161864,29514820,-1,4986446323,2549652340
zigzag,HeapSort,100000000,53608.8,both,31323868,30374405,-1,4986446323,2549652340
endnoise,HeapSort,100000000,7992.07,none,394576,394395,-1,5128959434,2656428126
endnoise,HeapSort,100000000,10818.5,cpu,394664,394519,-1,5128959434,2656428126
endnoise,HeapSort,100000000,16941.6,ram,31181448,29434485,-1,5128959434,2656428126
endnoise,HeapSort,100000000,38705.3,both,31241560,29885035,-1,5128959434,2656428126
ordered,HeapSort,100000000,6899.79,none,394528,394347,-1,5119014040,2652454802
ordered,HeapSort,100000000,10950.6,cpu,394660,394519,-1,5119014040,2652454802
ordered,HeapSort,100000000,17885.2,ram,31214068,29658641,-1,5119014040,2652454802
ordered,HeapSort,100000000,41331.4,both,31322916,29906899,-1,5119014040,2652454802
random,HeapSort,100000000,25214.3,none,394560,394391,-1,5012871951,2571577939
random,HeapSort,100000000,40573.6,cpu,394648,394515,-1,5012871951,2571577939
random,HeapSort,100000000,54711.4,ram,31338884,30684159,-1,5012871951,2571577939
random,HeapSort,100000000,100692,both,31391832,30644045,-1,5012871951,2571577939
random_swaps,HeapSort,100000000,7775.41,none,394380,394271,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,12617.4,cpu,394500,394435,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,16965.8,ram,31252140,29542833,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,50785.9,both,31299116,30253648,-1,5116272301,2648852402
repeated_1_5,HeapSort,100000000,6709.78,none,394472,394327,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,9271.74,cpu,394588,394483,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,13256.6,ram,31229408,29273360,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,33025.3,both,31251620,29269334,-1,4021814368,2028013247
repeated,HeapSort,100000000,337.421,none,394476,394329,-1,299999994,99999999
repeated,HeapSort,100000000,914.125,cpu,394568,394463,-1,299999994,99999999
repeated,HeapSort,100000000,783.145,ram,31238856,8066878,-1,299999994,99999999
repeated,HeapSort,100000000,1932.14,both,25868232,9415091,-1,299999994,99999999
reversed,HeapSort,100000000,7599.22,none,394440,394295,-1,4924144478,2500251420
reversed,HeapSort,100000000,11472.2,cpu,394576,394467,-1,4924144478,2500251420
reversed,HeapSort,100000000,16206.9,ram,31177548,29430203,-1,4924144478,2500251420
reversed,HeapSort,100000000,45265.3,both,31274908,30225671,-1,4924144478,2500251420
zigzag,HeapSort,100000000,8495.14,none,394480,394335,-1,4986446323,2549652340
zigzag,HeapSort,100000000,13216.3,cpu,394572,394463,-1,4986446323,2549652340
zigzag,HeapSort,100000000,16992.4,ram,31243724,29583079,-1,4986446323,2549652340
zigzag,HeapSort,100000000,31626.9,both,31265468,29403383,-1,4986446323,2549652340
