vector_type,algorithm,size,time_ms,stress,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
ordered,MergeSort,100000000,20314,ram,31272704,29651980,-1,1351335168,0
ordered,MergeSort,100000000,31414.5,both,31297020,29799070,-1,1351335168,0
random,MergeSort,100000000,13110.2,none,784760,431770,-1,2532922684,0
random,MergeSort,100000000,19858.4,cpu,784488,430827,-1,2532922684,0
random,MergeSort,100000000,42596.5,ram,31333912,30570672,-1,2532922684,0
random,MergeSort,100000000,72179.6,both,31403408,30573059,-1,2532922684,0
random_swaps,MergeSort,100000000,5657.7,none,784912,427884,-1,2338959016,0
random_swaps,MergeSort,100000000,9827.68,cpu,784544,425416,-1,2338959016,0
random_swaps,MergeSort,100000000,19550,ram,31242792,29924511,-1,2338959016,0
random_swaps,MergeSort,100000000,35000.5,both,31274632,29699490,-1,2338959016,0
repeated_1_5,MergeSort,100000000,6741.51,none,784804,424011,-1,2317759542,0
repeated_1_5,MergeSort,100000000,11093.9,cpu,784744,422812,-1,2317759542,0
repeated_1_5,MergeSort,100000000,21908.6,ram,31247652,29995794,-1,2317759542,0
repeated_1_5,MergeSort,100000000,38660.9,both,31349720,29658350,-1,2317759542,0
repeated,MergeSort,100000000,5232.23,none,784884,427723,-1,1351335168,0
repeated,MergeSort,100000000,8745.86,cpu,784736,425012,-1,1351335168,0
repeated,MergeSort,100000000,20221.6,ram,31233144,29775607,-1,1351335168,0
repeated,MergeSort,100000000,37331.5,both,31267692,29569286,-1,1351335168,0
reversed,MergeSort,100000000,5026.9,none,784800,427935,-1,1314447104,0
reversed,MergeSort,100000000,8662.29,cpu,784444,425536,-1,1314447104,0
reversed,MergeSort,100000000,13503.7,ram,31203820,29208332,-1,1314447104,0
reversed,MergeSort,100000000,35559.7,both,31222500,29420082,-1,1314447104,0
zigzag,MergeSort,100000000,5310.61,none,784856,427846,-1,1973337536,0
zigzag,MergeSort,100000000,9056.74,cpu,784388,425002,-1,1973337536,0
zigzag,MergeSort,100000000,18652.2,ram,31186892,29807254,-1,1973337536,0
zigzag,MergeSort,100000000,34973.3,both,31372320,29936699,-1,1973337536,0
endnoise,MergeSort,100000000,6237.79,none,784944,424686,-1,1360623793,0
endnoise,MergeSort,100000000,9089.91,cpu,784592,425930,-1,1360623793,0
endnoise,MergeSort,100000000,22694,ram,31246956,29894821,-1,1360623793,0
endnoise,MergeSort,100000000,37616.4,both,31261288,29803956,-1,1360623793,0
ordered,MergeSort,100000000,5715.6,none,784944,427067,-1,1351335168,0
ordered,MergeSort,100000000,8918.44,cpu,784860,425036,-1,1351335168,0
ordered,MergeSort,100000000,18736.7,ram,31329316,29752405,-1,1351335168,0
ordered,MergeSort,100000000,36393.1,both,31297860,29900476,-1,1351335168,0
random,MergeSort,100000000,12874.8,none,784896,432049,-1,2532922684,0
random,MergeSort,100000000,19996.9,cpu,784396,433046,-1,2532922684,0
random,MergeSort,100000000,31356.9,ram,31388340,30287864,-1,2532922684,0
random,MergeSort,100000000,74295.6,both,31349012,30453241,-1,2532922684,0
random_swaps,MergeSort,100000000,6235.9,none,784732,427324,-1,2338959016,0
random_swaps,MergeSort,100000000,9585.73,cpu,784320,429083,-1,2338959016,0
random_swaps,MergeSort,100000000,21083.2,ram,31274016,30003944,-1,2338959016,0
random_swaps,MergeSort,100000000,36615,both,31348024,29936902,-1,2338959016,0
repeated_1_5,MergeSort,100000000,7466.86,none,784740,423462,-1,2317759542,0
repeated_1_5,MergeSort,100000000,9637.86,cpu,784796,423410,-1,2317759542,0
repeated_1_5,MergeSort,100000000,22812,ram,31356744,30167914,-1,2317759542,0
repeated_1_5,MergeSort,100000000,50294.1,both,31374108,30026448,-1,2317759542,0
repeated,MergeSort,100000000,5771.31,none,784864,426815,-1,1351335168,0
repeated,MergeSort,100000000,8900.29,cpu,784624,425997,-1,1351335168,0
repeated,MergeSort,100000000,11411,ram,31258052,28887600,-1,1351335168,0
repeated,MergeSort,100000000,37960.5,both,31363992,29961219,-1,1351335168,0
reversed,MergeSort,100000000,5510.05,none,785004,427004,-1,1314447104,0
reversed,MergeSort,100000000,8268.21,cpu,784932,425451,-1,1314447104,0
reversed,MergeSort,100000000,18067.9,ram,31271260,29843333,-1,1314447104,0
reversed,MergeSort,100000000,35969.1,both,31314616,29673805,-1,1314447104,0
zigzag,MergeSort,100000000,5206.77,none,784988,427856,-1,1973337536,0
zigzag,MergeSort,100000000,8605.97,cpu,784728,425015,-1,1973337536,0
zigzag,MergeSort,100000000,19476.9,ram,31237692,29961090,-1,1973337536,0
zigzag,MergeSort,100000000,35488.3,both,31313556,29471196,-1,1973337536,0
endnoise,MergeSort,100000000,5661.63,none,784968,427152,-1,1360623793,0
endnoise,MergeSort,100000000,7857.12,cpu,784788,425996,-1,1360623793,0
endnoise,MergeSort,100000000,20664.6,ram,31255204,29969091,-1,1360623793,0
endnoise,MergeSort,100000000,35575.9,both,31240764,29312241,-1,1360623793,0
ordered,MergeSort,100000000,5735.65,none,785004,426977,-1,1351335168,0
ordered,MergeSort,100000000,8308.38,cpu,784800,425460,-1,1351335168,0
ordered,MergeSort,100000000,19277.7,ram,31248688,29857903,-1,1351335168,0
ordered,MergeSort,100000000,34768.2,both,31284440,29655264,-1,1351335168,0
random,MergeSort,100000000,12909.2,none,784848,432145,-1,2532922684,0
random,MergeSort,100000000,18953.9,cpu,784516,433646,-1,2532922684,0
random,MergeSort,100000000,38217.3,ram,31360896,30550747,-1,2532922684,0
random,MergeSort,100000000,65036.5,both,31377192,30323019,-1,2532922684,0
random_swaps,MergeSort,100000000,5581.85,none,784752,428254,-1,2338959016,0
random_swaps,MergeSort,100000000,8682.68,cpu,784440,425498,-1,2338959016,0
random_swaps,MergeSort,100000000,20524.3,ram,31306180,29865573,-1,2338959016,0
random_swaps,MergeSort,100000000,37444.2,both,31262496,29615119,-1,2338959016,0
repeated_1_5,MergeSort,100000000,7277.53,none,784872,423581,-1,2317759542,0
repeated_1_5,MergeSort,100000000,10189.9,cpu,784684,424581,-1,2317759542,0
repeated_1_5,MergeSort,100000000,28939.2,ram,31292452,30313022,-1,2317759542,0
repeated_1_5,MergeSort,100000000,43901.2,both,31244724,29791574,-1,2317759542,0
repeated,MergeSort,100000000,5130,none,784896,427857,-1,1351335168,0
repeated,MergeSort,100000000,8577.89,cpu,784688,427726,-1,1351335168,0
repeated,MergeSort,100000000,22589.1,ram,31247716,29831613,-1,1351335168,0
repeated,MergeSort,100000000,33586.8,both,31348280,29759639,-1,1351335168,0
reversed,MergeSort,100000000,5024.78,none,784768,427562,-1,1314447104,0
reversed,MergeSort,100000000,8372.16,cpu,784396,425713,-1,1314447104,0
reversed,MergeSort,100000000,20205.1,ram,31241132,29552413,-1,1314447104,0
reversed,MergeSort,100000000,34460.1,both,31238024,29486352,-1,1314447104,0
zigzag,MergeSort,100000000,5297.72,none,784856,427634,-1,1973337536,0
zigzag,MergeSort,100000000,8978.59,cpu,784376,424360,-1,1973337536,0
zigzag,MergeSort,100000000,18079.9,ram,31225956,29711449,-1,1973337536,0
zigzag,MergeSort,100000000,34442.9,both,31284180,29642378,-1,1973337536,0
